MB01	34952194402811904 1297168227
MB02	35048150574039040 1297191104
MB03	35088534306033665 1297200733
MB04	32851298193768448 1296667334
MB05	33581589627666432 1296841449
MB06	35005178885181441 1297180859
MB07	35109758973255680 1297205793
MB08	34668458591395840 1297100579
MB09	35090855064764416 1297201286
MB10	31443107291598848 1296331595
MB11	34199299428581376 1296988723
MB12	32181966761631744 1296507753
MB13	29565006546735104 1295883821
MB14	32778015167479808 1296649862
MB15	31688182005235712 1296390025
MB16	29585186899365888 1295888632
MB17	32879343399084032 1296674020
MB18	30188073790742528 1296032372
MB19	34754540519563264 1297121102
MB20	34146608102772736 1296976160
MB21	31185639047172097 1296270210
MB22	32563233118224385 1296598654
MB23	35066441501900800 1297195465
MB24	35022813232373760 1297185064
MB25	33251413001764864 1296762729
MB26	33527910379814912 1296828651
MB27	33379210437337088 1296793198
MB28	30396111764066304 1296081972
MB29	34779934836785152 1297127157
MB30	35108366829232128 1297205461
MB31	33445664922800129 1296809042
MB32	33346093525762048 1296785302
MB33	30708594202648576 1296156474
MB34	33656631187210241 1296859340
MB35	29437816727404544 1295853497
MB36	29674954899333120 1295910035
MB37	33224462191038464 1296756303
MB38	32419560749531136 1296564400
MB39	31052423128686592 1296238449
MB40	32174687102435328 1296506017
MB41	32134993337647104 1296496554
MB42	34714824982134784 1297111633
MB43	31261786745339904 1296288365
MB44	30982361281728512 1296221745
MB45	32421023961841667 1296564749
MB46	35104330025541632 1297204499
MB47	34766556445540352 1297123967
MB48	32009428471386112 1296466617
MB49	32569981321347074 1296600263
